Name,Difficulty Level,Category,Equipment Options,Primary Muscle Group,Secondary Muscle Group(s)
3-Way Reaches,2,Isolation,Mini Bands,Shoulders,Upper Back
Ab Bicycle,2,Compound,Bodyweight,Abdominals,"Obliques, Hip Flexors"
Adductor Leg Lifts,1,Isolation,Bodyweight,Adductors,
Air Runner (Self-Powered Treadmill),2,Cardio,Specialized Machine,Hamstrings,"Quads, Glutes, Calves"
Arnold Press,2,Compound,Dumbbells,Shoulders,"Triceps, Traps"
Around-The-Worlds,5,Compound,"Bodyweight, Pull-Up Bar",Obliques,"Abdominals, Shoulders, Hip Flexors, Forearms"
Assault Air Bike,1,Cardio,Specialized Machine,Quads,"Shoulders, Calves, Glutes"
Back Extensions,1,Isolation,"Bodyweight, Specialized Machine",Lower Back,"Glutes, Hamstrings"
Back Squats,2,Compound,Barbell,Quads,"Glutes, Hamstrings, Lower Back"
Ball Slams,1,Power,Slam Ball,Abdominals,"Shoulders, Lower Back, Forearms"
Banana/Cannon Ball,3,Compound,"Bodyweight, Medicine Ball, Exercise Ball",Abdominals,"Shoulders, Hip Flexors"
Banded Marches,1,Compound,Mini Band,Hip Flexors,"Abdominals, Glutes"
Battle Rope Exercises,2,Cardio,Battle Rope,Shoulders,"Chest, Upper Back, Forearms, Biceps, Abdominals"
Belt Squat,2,Compound,Specialized Machine,Quads,"Glutes, Hamstrings"
Bench Press,2,Compound,"Barbell, Dumbbells",Chest,"Shoulders, Triceps"
Bent Over Rows,2,Compound,"Barbell, Dumbbells, Kettlebells",Upper Back,"Lower Back, Biceps, Forearms, Lats"
Bicep Curl,1,Isolation,"Dumbbells, Cable Machine, Resistance Band, EZ Bar, Barbell",Biceps,Forearms
Bike Erg,1,Cardio,Specialized Machine,Quads,"Calves, Glutes"
Bird Dog,2,Compound,Bodyweight,Lower Back,"Shoulders, Glutes, Obliques"
Bottoms-Up Bench Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps, Chest"
Bottoms-Up Incline Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps, Chest"
Bottoms-Up Overhead Press,3,Compound,Kettlebell,Shoulders,"Forearms, Triceps"
Box Jumps,3,Plyometric,Bodyweight,Quads,Calves
Box Squats,1,Compound,"Barbell, Safety Squat Bar",Quads,"Glutes, Hamstrings"
Broad Jumps,3,Plyometric,Bodyweight,Quads,Calves
Bulgarian Split Squats,3,Compound,"Bodyweight, Dumbbells, Kettlebells, Barbell",Quads,"Glutes, Hamstrings"
Burpees,2,Cardio,Bodyweight,Quads,"Shoulders, Triceps, Chest, Calves"
Calf Raises,1,Isolation,"Specialized Machine, Bodyweight",Calves,
Chest Flys,2,Isolation,"Cable Machine, Resistance Bands, Dumbbells, Specialized Machine",Chest,Shoulders
Chin-Up Grip Lat Pulldown,1,Compound,Specialized Machine,Lats,"Biceps, Upper Back, Forearms"
Chin-Ups,4,Compound,"Bodyweight, Pull-Up Bar",Lats,"Biceps, Upper Back, Forearms"
Chin-Ups (Assisted),2,Compound,"Bodyweight, Pull-Up Bar, Barbell, Resistance Band",Lats,"Biceps, Upper Back, Forearms"
Clean,4,Power,Barbell,Quads,"Shoulders, Lower Back, Hamstrings, Glutes, Traps"
Clean & Press,3,Power,"Dumbbells, Kettlebells",Shoulders,"Quads, Triceps, Forearms, Lower Back, Traps"
Clean High Pull,3,Power,Barbell,Hamstrings,"Shoulders, Glutes, Lower Back"
Clean Pull,3,Power,Barbell,Hamstrings,"Upper Back, Glutes, Lower Back"
Contact Twists,3,Compound,Barbell,Obliques,"Shoulders, Forearms"
Copenhagen Plank,3,Isometric,Bodyweight,Adductors,"Shoulders, Obliques"
